series_id,series_name,year,period,period_name,value,latest
CES6562310006,Avg Weekly Hours,2022,M06,June,1194.1,False
CES6562310006,Avg Weekly Hours,2022,M05,May,1191.7,False
CES6562310006,Avg Weekly Hours,2022,M04,April,1188.6,False
CES6562310006,Avg Weekly Hours,2022,M03,March,1185.5,False
CES6562310006,Avg Weekly Hours,2022,M02,February,1189.4,False
CES6562310006,Avg Weekly Hours,2022,M01,January,1193.8,False
CES6562310006,Avg Weekly Hours,2021,M12,December,1193.0,False
CES6562310006,Avg Weekly Hours,2021,M11,November,1197.1,False
CES6562310006,Avg Weekly Hours,2021,M10,October,1200.6,False
CES6562310006,Avg Weekly Hours,2021,M09,September,1199.0,False
CES6562310006,Avg Weekly Hours,2021,M08,August,1213.3,False
CES6562310006,Avg Weekly Hours,2021,M07,July,1221.5,False
CES6562310006,Avg Weekly Hours,2021,M06,June,1224.8,False
CES6562310006,Avg Weekly Hours,2021,M05,May,1230.2,False
CES6562310006,Avg Weekly Hours,2021,M04,April,1234.5,False
CES6562310006,Avg Weekly Hours,2021,M03,March,1251.3,False
CES6562310006,Avg Weekly Hours,2021,M02,February,1254.9,False
CES6562310006,Avg Weekly Hours,2021,M01,January,1264.6,False
CES6562310006,Avg Weekly Hours,2020,M12,December,1284.5,False
CES6562310006,Avg Weekly Hours,2020,M11,November,1290.5,False
CES6562310006,Avg Weekly Hours,2020,M10,October,1298.2,False
CES6562310006,Avg Weekly Hours,2020,M09,September,1306.3,False
CES6562310006,Avg Weekly Hours,2020,M08,August,1310.4,False
CES6562310006,Avg Weekly Hours,2020,M07,July,1318.5,False
CES6562310006,Avg Weekly Hours,2020,M06,June,1335.8,False
CES6562310006,Avg Weekly Hours,2020,M05,May,1352.5,False
CES6562310006,Avg Weekly Hours,2020,M04,April,1382.0,False
CES6562310006,Avg Weekly Hours,2020,M03,March,1427.4,False
CES6562310006,Avg Weekly Hours,2020,M02,February,1431.9,False
CES6562310006,Avg Weekly Hours,2020,M01,January,1428.6,False
CES6562310011,Avg Weekly Earnings,2024,M12,December,871.0,False
CES6562310011,Avg Weekly Earnings,2024,M11,November,867.49,False
